image_name,pixel_accuracy,crop_iou,crop_precision,crop_recall,crop_f1,weed_iou,weed_precision,weed_recall,weed_f1
1461671147_16927354,0.9999,0.5521,1.0000,0.5521,0.7114,0.0000,0.0000,0.0000,0.0000
1461671148_16923713,0.9999,0.7887,0.9395,0.8308,0.8818,0.0000,0.0000,0.0000,0.0000
1461671149_16916820,1.0000,0.8879,0.9156,0.9670,0.9406,0.0000,0.0000,0.0000,0.0000
1461671150_16979628,0.9999,0.7958,0.9321,0.8448,0.8863,0.0000,0.0000,0.0000,0.0000
1461671151_16937502,0.9998,0.8871,0.9593,0.9218,0.9402,0.0000,0.0000,0.0000,0.0000
1461671152_16918319,0.9999,0.7964,0.9392,0.8397,0.8867,0.0000,0.0000,0.0000,0.0000
1461671153_17012367,0.9995,0.6078,0.9161,0.6436,0.7561,0.0000,0.0000,0.0000,0.0000
1461671154_16962614,0.9998,0.7150,0.9232,0.7602,0.8338,0.0000,0.0000,0.0000,0.0000
1461671155_17039445,0.9999,0.7937,0.8475,0.9259,0.8850,0.0000,0.0000,0.0000,0.0000
1461671156_17003870,0.9996,0.5935,0.7983,0.6981,0.7449,0.0000,0.0000,0.0000,0.0000
1461671157_17021485,0.9999,0.8282,0.9503,0.8657,0.9060,0.0000,0.0000,0.0000,0.0000
1461671158_17031104,0.9998,0.7647,0.9343,0.8082,0.8667,0.0000,0.0000,0.0000,0.0000
1461671159_17045848,0.9998,0.5755,0.9385,0.5980,0.7305,0.0000,0.0000,0.0000,0.0000
1461671160_17077849,0.9998,0.7387,0.9830,0.7483,0.8497,0.0000,0.0000,0.0000,0.0000
1461671161_17108086,0.9998,0.6469,0.9494,0.6700,0.7856,0.0000,0.0000,0.0000,0.0000
1461671162_18692564,0.9999,0.8056,0.9065,0.8787,0.8924,0.0000,0.0000,0.0000,0.0000
1461671163_17080770,0.9998,0.7682,0.9158,0.8266,0.8689,0.0000,0.0000,0.0000,0.0000
1461671164_17111189,0.9999,0.8291,0.9132,0.9000,0.9066,0.0000,0.0000,0.0000,0.0000
1461671165_17021230,0.9997,0.5207,0.9032,0.5515,0.6849,0.0000,0.0000,0.0000,0.0000
1461671166_17119499,0.9999,0.7676,0.8973,0.8415,0.8685,0.0000,0.0000,0.0000,0.0000
1461671167_17095495,0.9997,0.6803,0.9362,0.7133,0.8097,0.0000,0.0000,0.0000,0.0000
